U00270;OD000001;PR000001;Alicja;Pawlak;45378243287;61;88-351;696454033;alicja.pawlak189@kantor.pl;2023-03-30;7679.57;628.64;S0001
U00374;OD000002;PR000002;Damian;Jankowski;65208910165;36;67-184;806773258;damian.jankowski135@kantor.pl;2023-11-25;9645.09;1221.29;S0001
U00242;OD000003;PR000003;Ewa;Szymanski;68219742207;110;58-200;578299258;ewa.szymanski820@kantor.pl;2025-04-13;5621.61;1208.5;S0001
U00512;OD000004;PR000004;Alicja;Krawczyk;81428106371;69;50-804;761252231;alicja.krawczyk308@kantor.pl;2021-02-18;8716.04;851.75;S0001
U00168;OD000005;PR000005;Tomasz;Wojcik;36027658055;105;42-487;838154701;tomasz.wojcik99@kantor.pl;2022-10-29;10084.45;389.65;S0001
U00571;OD000006;PR000006;Natalia;Pawlak;58351517002;3;62-124;688490269;natalia.pawlak889@kantor.pl;2024-10-12;11723.37;298.44;S0001
U00665;OD000007;PR000007;Mateusz;Wieczorek;33787411183;100;46-363;674531518;mateusz.wieczorek690@kantor.pl;2023-05-05;8156.2;1104.79;S0001
U00629;OD000008;PR000008;Piotr;Mazur;71360151533;81;28-889;589966430;piotr.mazur656@kantor.pl;2025-11-14;11464.25;632.72;S0001
U00415;OD000009;PR000009;Aleksandra;Michalski;18896355087;21;53-233;668299400;aleksandra.michalski325@kantor.pl;2024-07-21;6685.17;401.21;S0001
U00278;OD000010;PR000010;Wojciech;Mazur;73942149420;100;56-765;815100153;wojciech.mazur534@kantor.pl;2022-10-30;7604.92;275.83;S0001
U00241;OD000011;PR000011;Jan;Kowalczyk;47203103566;96;99-767;542984428;jan.kowalczyk216@kantor.pl;2020-06-02;7477.84;143.33;S0001
U00056;OD000012;PR000012;Magdalena;Pawlak;80424632520;98;20-106;640902987;magdalena.pawlak633@kantor.pl;2020-04-27;5132.33;1397.38;S0001
U00235;OD000013;PR000013;Tomasz;Dabrowski;71350065666;81;26-134;782792636;tomasz.dabrowski859@kantor.pl;2020-06-14;4714.28;995.32;S0001
U00479;OD000014;PR000014;Jakub;Grabowska;84184455098;57;27-992;874533430;jakub.grabowska553@kantor.pl;2020-07-04;8931.23;684.82;S0001
U00578;OD000015;PR000015;Ewa;Wieczorek;80587690322;82;91-546;666248158;ewa.wieczorek931@kantor.pl;2021-12-14;8112.39;340.69;S0001
U00316;OD000016;PR000016;Piotr;Piotrowski;67405602255;34;29-310;505667113;piotr.piotrowski1@kantor.pl;2023-06-14;10615.35;1271.92;S0001
